NoRaw	D1	D2	Ru_PP	Br_PP	Uk_PP	Pl_PP	Cz_PP	Sk_PP	Sl_PP	Cr_PP	Sr_PP	Mk_PP	Bg_PP
296	-0.476316688222438	-0.154963282764783	от	ад	від	INS	NA	od	od	NA	od	од	от
298	-0.435492954557983	-0.0604585621806308	от	ад	від	z	INS	od	od	NA	od	од	от
299	-0.44311317322275	-0.4526005844916	от	ад	від	na	na	na	za	NA	od	од	от
300	-0.484831694877321	-0.243911704280187	от	ад	від	od	od	od	od	NA	od	од	от
301	-0.0822255711461764	-0.6480337096072	от	ад	від	przez	INS	INS	zaradi	NA	NA	со	с
302	-0.456792253044526	-0.173534224773215	от	NA	від	od	NA	od	od	NA	od	од	от
304	-0.478283983696664	-0.167582837453541	от	NA	від	INS	INS	od	od	NA	od	од	от
305	-0.267283670802264	-0.0732705461582768	от	NA	NA	NA	INS	od	zaradi	NA	od	од	от
306	-0.343519187878135	-0.262956266522459	от	ад	від	NA	INS	v	v	NA	od	од	от
307	-0.409314512025523	0.018584470056282	от	ад	від	z	NA	INS	od	NA	od	од	от
308	-0.435633969654899	-0.0607808961335238	от	ад	від	z	INS	od	od	NA	od	од	от
309	-0.413217216028073	-0.0551719627938418	от	ад	від	z	INS	od	NA	NA	od	од	от
310	-0.426893805370274	0.213670819805943	от	NA	з	pod_wpływem	NA	od	NA	NA	od	од	от
313	-0.373573512510917	-0.0760959322683765	от	ад	від	z	INS	INS	od	NA	od	од	от
315	-0.435467205533514	-0.0606331361304571	от	ад	від	z	INS	od	od	NA	od	од	от
316	-0.435495153496327	-0.0606598871016649	от	ад	від	z	INS	od	od	NA	od	од	от
318	-0.440015851024005	-0.0524531848671061	от	NA	від	z	INS	od	od	NA	od	од	от
319	-0.435576099268387	-0.0608088660591659	от	ад	від	z	INS	od	od	NA	od	од	от
320	-0.435655916532923	-0.0606561236769317	от	ад	від	z	INS	od	od	NA	od	од	от
321	-0.223607001119541	-0.243955204443564	от	ад	від	od	od	od	zaradi	NA	od	од	от
323	-0.438320925464337	-0.17780595810545	от	ад	NA	od	INS	od	od	NA	od	од	от
324	-0.435500489473284	-0.060799500833324	от	ад	від	z	INS	od	od	NA	od	од	от
326	-0.439711065902712	-0.052193643361978	от	NA	від	z	INS	od	od	NA	od	од	от
327	-0.484911928525818	-0.243790511986474	от	ад	від	od	od	od	od	NA	od	од	от
328	-0.382225532398928	-0.182792541182713	от	ад	від	od	INS	NA	NA	NA	od	од	от
330	-0.127159309235338	-0.129618765305324	от	ад	NA	od	pro	od	zaradi	NA	od	од	от
331	-0.43548796785943	-0.0606205349245662	от	ад	від	z	INS	od	od	NA	od	од	от
333	-0.256357849096439	-0.190670614270627	от	ад	від	na_skutek	INS	od	zaradi	NA	od	од	от
334	-0.150714420018437	0.24407518395877	от	з-за	від	z	z	z	zaradi	NA	od	од	от
337	-0.439667594335069	-0.0522429408284219	от	NA	від	z	INS	od	od	NA	od	од	от
338	-0.289607536025674	0.0253108278369533	от	NA	NA	z	INS	od	zaradi	NA	od	од	от
340	-0.449219808402777	-0.0839878253936169	от	ад	від	z	INS	od	od	NA	od	NA	от
341	-0.412523604196761	-0.278629270135631	от	NA	від	od	INS	INS	od	NA	od	од	от
343	-0.155262050123954	-0.0000207944459053014	от	ад	від	pod_wpływem	z	od	zaradi	NA	od	од	от
347	-0.2872607530986	-0.0811318529484166	от	ад	від	NA	NA	od	zaradi	NA	od	од	от
348	-0.277485890792583	-0.2090370166586	от	ад	від	od	INS	od	zaradi	NA	od	од	от
352	-0.222503495988636	0.0164099750380028	от	ад	від	NA	z	od	zaradi	NA	od	од	от
353	-0.382246385705294	-0.182770773011896	от	ад	від	od	INS	NA	NA	NA	od	од	от
355	-0.373509980702171	-0.0761389433079605	от	ад	від	z	INS	INS	od	NA	od	од	от
356	-0.50170289129512	-0.144144574175298	от	NA	від	INS	NA	od	od	NA	od	од	от
359	0.19028144644315	0.330308211467682	из-за	з-за	через	z	kvůli	pre	NA	zbog	od	од	от
360	0.611470529244172	0.558868766620105	из-за	з-за	через	z_powodu	kvůli	pre	NA	zbog	zbog	од	с
362	0.413877093377337	0.796392678640479	в_силу	з	NA	z	z	z	zaradi	NA	s	поради	по
363	0.290552185081442	0.381540211311984	в_силу	NA	завдйаки	dzięki	z	z	zaradi	NA	iz	од	от
366	0.9151663736073	0.306171754515272	по_причине	праз	через	wskutek	pro	pre	zaradi	NA	zbog	поради	поради
367	0.815285579163389	-0.000223148040325111	вследствие	ад	внаслідок	wskutek	NA	vzhľadom_na	zaradi	NA	usled	поради	поради
